Timestamp,Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
280,-12.25895,-0.2218104,1.319231,11.21737,-1.646854,2.090127,-5.559575,-0.0001980755,0,7.528689,-0.9649076,-26.21914,8.699513,2.038081,1.372306,0,-0.0002800378,0,1.637216,-4.346541,-14.16578,3.029184,-0.9359272,1.163652,-13.61631,-3.212429,16.56989,-4.409044,-3.518084,3.711129,6.596269,-4.084788,-0.2430897,-2.234496,-19.77545,-2.209569,0.332791,0.305528,8.060366,23.34636,-3.738128,-8.174932,-3.793696,-0.8115651,4.235967,3.843946,-2.908923,1.678414,8.637041,-15.73156,0.6812752
290,-12.25885,-0.2285245,1.367019,11.21686,-1.639177,2.132399,-5.573517,-0.0001980755,0,7.540071,-0.9706245,-26.22146,8.70132,2.03304,1.333248,0,-0.0002800378,0,1.635901,-4.345523,-14.17512,3.030088,-0.9322389,1.197956,-13.6225,-3.20577,16.57852,-4.441929,-3.488744,3.716436,6.406065,-3.95513,-0.2193969,-2.249511,-19.63683,-2.244633,0.3403488,0.3067984,8.077106,23.33628,-3.738887,-8.174523,-3.80143,-0.8101172,4.261683,3.840583,-2.908356,1.695352,8.664809,-15.72482,0.6827098
300,-12.25852,-0.2348083,1.411114,11.21521,-1.631213,2.174749,-5.58581,-0.0001775849,0,7.551254,-0.9766556,-26.2271,8.702245,2.027719,1.297243,0,-0.0003005283,0,1.633986,-4.343447,-14.18327,3.027568,-0.9284276,1.236064,-13.6223,-3.197464,16.58412,-4.474659,-3.461249,3.734379,6.21426,-3.819052,-0.1928145,-2.272709,-19.49601,-2.28139,0.3432113,0.3085401,8.088788,23.33333,-3.73834,-8.170824,-3.80992,-0.811324,4.276464,3.838186,-2.902134,1.72839,8.694094,-15.71551,0.6844273
310,-12.2589,-0.2404363,1.45293,11.2164,-1.622703,2.215407,-5.601892,-0.0001980755,0,7.563068,-0.9853709,-26.23345,8.735025,2.022521,1.266096,-0.05934703,-0.0003073585,0,1.660125,-4.357743,-14.19354,3.024657,-0.9250808,1.276562,-13.61731,-3.189111,16.58943,-4.510714,-3.436042,3.765128,6.023694,-3.678084,-0.1724585,-2.311645,-19.35076,-2.319422,0.3403488,0.3129661,8.095558,23.33485,-3.736803,-8.168156,-3.818442,-0.8139727,4.285992,3.834562,-2.89333,1.764916,8.499648,-15.73986,0.6564078
320,-12.26027,-0.2470138,1.492265,11.21458,-1.615476,2.257501,-5.609478,-0.0001912453,0,7.571419,-0.9909239,-26.24385,8.705855,2.017071,1.237804,0,-0.0002936981,0,1.635063,-4.338823,-14.20582,3.023556,-0.9220346,1.315071,-13.61027,-3.181167,16.59714,-4.54881,-3.411395,3.804818,5.830085,-3.534213,-0.1643245,-2.356425,-19.19804,-2.355926,0.3310224,0.320131,8.101182,23.33545,-3.736537,-8.168709,-3.830219,-0.8144533,4.297487,3.833234,-2.885284,1.792205,8.511816,-15.73075,0.6564078
330,-12.26175,-0.2537074,1.531357,11.21333,-1.60909,2.296355,-5.617753,-0.0001775849,0,7.579735,-0.996429,-26.2509,8.732755,2.013403,1.204635,-0.04845664,-0.0002800378,0,1.656585,-4.349144,-14.21227,3.024851,-0.9211603,1.349587,-13.6039,-3.175239,16.60664,-4.587743,-3.388418,3.850656,5.630785,-3.389468,-0.1631294,-2.115999,-19.03362,-2.354597,0.3195939,0.329099,8.108933,23.33345,-3.735752,-8.171448,-3.841042,-0.8106001,4.315102,3.828173,-2.878167,1.801354,8.527699,-15.72157,0.6558113
350,-12.26244,-0.2600526,1.56748,11.21219,-1.603421,2.32692,-5.627059,-0.0001912453,0,7.588222,-1.000432,-26.25256,8.709645,2.008984,1.175032,0,-0.000286868,0,1.635901,-4.334411,-14.21782,3.027438,-0.9221848,1.377998,-13.60281,-3.171243,16.61723,-4.627112,-3.367088,3.897518,5.425673,-3.242202,-0.166689,-2.792531,-18.88626,-2.465375,0.3077414,0.3370767,8.118999,23.32645,-3.731278,-8.174955,-3.851631,-0.8042993,4.341084,3.818699,-2.86954,1.796023,8.517836,-15.70274,0.651921
360,-12.26328,-0.2752088,1.64461,11.20537,-1.593176,2.388599,-5.639758,-0.0001912453,0,7.602407,-1.006251,-26.24964,8.711967,2.002174,1.109064,0,-0.0002936981,0,1.638053,-4.330217,-14.22803,3.033446,-0.9200948,1.423128,-13.60887,-3.15595,16.64925,-4.710313,-3.315938,3.987683,5.013447,-2.948026,-0.1678588,-2.459652,-18.49152,-2.468152,0.2825486,0.3499789,8.138345,23.31049,-3.7247,-8.177934,-3.866296,-0.7940154,4.403669,3.780718,-2.852431,1.779383,8.542518,-15.66863,0.6486109
370,-12.2631,-0.2788288,1.676197,11.21315,-1.584502,2.412732,-5.670498,-0.0001707547,0,7.619837,-1.016318,-26.24893,8.735116,1.995932,1.082275,-0.04845664,-0.0002936981,0,1.661422,-4.341576,-14.23219,3.035381,-0.9167002,1.449424,-13.59612,-3.147495,16.65972,-4.75378,-3.285272,4.03727,4.811533,-2.803212,-0.1582588,-2.371411,-18.25374,-2.474646,0.2705197,0.3557094,8.139719,23.31131,-3.723368,-8.176373,-3.871661,-0.7910526,4.427063,3.756922,-2.842513,1.773323,8.514192,-15.63645,0.644677
390,-12.26283,-0.2808574,1.705824,11.22562,-1.573969,2.43759,-5.711138,-0.0001844151,0,7.641723,-1.029514,-26.25143,8.708699,1.987182,1.056288,0,-0.000286868,0,1.644729,-4.326187,-14.23451,3.036091,-0.914699,1.46967,-13.58591,-3.139517,16.67077,-4.798569,-3.254618,4.083879,4.612738,-2.662176,-0.1467098,-2.24411,-18.03565,-2.474409,0.2594432,0.3623484,8.145242,23.31118,-3.722289,-8.174523,-3.876665,-0.7858408,4.450374,3.732555,-2.831633,1.770341,8.50847,-15.61469,0.6422443
