Timestamp,Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
230,-11.36216,0.2159638,-1.388608,10.77165,-1.06652,-0.9323022,-4.446159,-0.0001707547,0,4.86643,-2.830936,-14.62275,9.845445,-0.5534024,0.7252374,-3.316765,0.0004439623,-0.02797646,4.285829,-2.504303,-13.34,3.357538,-0.1403399,-1.406809,-13.6614,-2.494829,16.75179,-5.51388,-0.7404569,4.87683,4.732014,-2.944863,-0.9503872,3.651948,-17.12378,-1.862356,-7.596235,-0.2833163,1.300407,23.97905,-2.34507,-7.63291,-5.794102,-0.3165179,4.662567,5.360158,-3.163757,0.392669,8.18897,-17.76123,0.1823843
240,-11.35746,0.2136005,-1.391283,10.75792,-1.070523,-0.9335608,-4.428857,-0.0001775849,0,4.860791,-2.824857,-14.62396,9.850816,-0.549762,0.7225344,-3.339179,0.0004644529,0,4.293636,-2.512144,-13.33499,3.360569,-0.1528118,-1.415822,-13.66689,-2.496154,16.75478,-5.530843,-0.751474,4.889132,4.742682,-2.950184,-0.9553158,3.649051,-17.13688,-1.862671,-7.589799,-0.2846003,1.312837,23.96629,-2.35494,-7.643624,-5.802755,-0.3202056,4.701103,5.345808,-3.154318,0.3961419,8.203176,-17.7732,0.1897456
260,-11.35635,0.2129312,-1.391423,10.75442,-1.071937,-0.9329317,-4.424787,-0.0001570944,0,4.860187,-2.824147,-14.62442,9.850356,-0.5486896,0.7200928,-3.341699,0.0004371321,-0.02797646,4.29505,-2.512956,-13.33104,3.359637,-0.159765,-1.420789,-13.67047,-2.495451,16.75521,-5.532862,-0.7576976,4.893742,4.744045,-2.955689,-0.9567486,3.642983,-17.14391,-1.863196,-7.585299,-0.2840881,1.318044,23.95899,-2.357986,-7.645857,-5.806874,-0.3274564,4.728922,5.341847,-3.145002,0.3906707,8.199512,-17.78645,0.191797
270,-11.35427,0.2134981,-1.392267,10.75345,-1.072189,-0.9337703,-4.426601,-0.0001775849,0,4.861799,-2.823614,-14.62404,9.845424,-0.5489013,0.7209076,-3.336304,0.0004576227,0,4.293271,-2.511522,-13.33099,3.35608,-0.1658507,-1.422716,-13.67169,-2.493818,16.75396,-5.531658,-0.7641266,4.898899,4.743797,-2.961666,-0.960423,3.644702,-17.14185,-1.860884,-7.578026,-0.2887258,1.320862,23.95467,-2.361354,-7.647782,-5.80522,-0.3316129,4.745055,5.333441,-3.143151,0.3946573,8.21217,-17.79479,0.1968319
280,-11.35253,0.212938,-1.392829,10.75184,-1.073344,-0.9354453,-4.426158,-0.0001912453,0,4.863008,-2.822541,-14.62278,9.846883,-0.5481158,0.7230757,-3.342402,0.0004371321,-0.01978234,4.296235,-2.513161,-13.33259,3.351761,-0.1718202,-1.423266,-13.67241,-2.494105,16.75164,-5.530913,-0.772531,4.902143,4.744788,-2.966932,-0.964895,3.646797,-17.14132,-1.858569,-7.568438,-0.294627,1.322934,23.95139,-2.363799,-7.648808,-5.802383,-0.3351346,4.756796,5.325094,-3.143759,0.4005627,8.217308,-17.80398,0.2017412
290,-11.35118,0.2134366,-1.393812,10.75135,-1.073323,-0.9350269,-4.426822,-0.0001775849,0,4.86337,-2.821121,-14.62422,9.845963,-0.5483686,0.7276617,-3.342988,0.0004644529,-0.02797646,4.2966,-2.512833,-13.33584,3.347728,-0.1774893,-1.424228,-13.67356,-2.494693,16.75049,-5.531055,-0.7793398,4.903031,4.747182,-2.974616,-0.964895,3.649426,-17.14397,-1.856778,-7.559566,-0.3003849,1.326184,23.94778,-2.367726,-7.650142,-5.798396,-0.3403488,4.766912,5.315776,-3.145302,0.4049353,8.212863,-17.8055,0.2046302
300,-11.3492,0.213983,-1.394654,10.75144,-1.073023,-0.9346082,-4.430184,-0.0001775849,0,4.864176,-2.821326,-14.62547,9.846483,-0.5487989,0.7308815,-3.347728,0.0004507925,0,4.297603,-2.51504,-13.33786,3.342929,-0.1821475,-1.427522,-13.67814,-2.495048,16.74759,-5.533216,-0.7850935,4.897847,4.752956,-2.983317,-0.9602193,3.653073,-17.14774,-1.854774,-7.548915,-0.306334,1.333689,23.9434,-2.372937,-7.650886,-5.794237,-0.3454843,4.777253,5.306109,-3.147829,0.409739,8.215778,-17.80686,0.2093567
310,-11.34755,0.2151783,-1.396337,10.75195,-1.071896,-0.9346082,-4.433852,-0.0001844151,0,4.864739,-2.821729,-14.62616,9.845505,-0.5499942,0.7356848,-3.349365,0.0004507925,0,4.297739,-2.515784,-13.34115,3.337595,-0.185829,-1.432448,-13.68451,-2.495656,16.74441,-5.536651,-0.7890712,4.890484,4.761315,-2.99288,-0.9553158,3.655324,-17.14963,-1.852874,-7.539186,-0.3124333,1.342318,23.93522,-2.378914,-7.650758,-5.789939,-0.3533245,4.788202,5.297202,-3.149605,0.414487,8.218527,-17.80491,0.2121421
320,-11.34557,0.2153012,-1.399277,10.74944,-1.071855,-0.9362817,-4.431996,-0.0001912453,0,4.862524,-2.820049,-14.62777,9.848301,-0.5500147,0.7404569,-3.359287,0.0004576227,-0.02797646,4.301474,-2.518263,-13.3429,3.331548,-0.1890801,-1.436404,-13.68945,-2.494508,16.74122,-5.538845,-0.7945082,4.883572,4.769085,-3.000229,-0.9567486,3.656502,-17.14697,-1.85002,-7.530226,-0.3175833,1.350602,23.92775,-2.385724,-7.649885,-5.787264,-0.3642322,4.797559,5.291428,-3.147666,0.4191812,8.220175,-17.8013,0.2158
330,-11.34293,0.214625,-1.402211,10.74307,-1.072401,-0.9419076,-4.42399,-0.0001639245,0,4.858373,-2.818348,-14.62611,9.849777,-0.5495502,0.7446731,-3.368193,0.0004439623,0,4.30457,-2.520702,-13.34455,3.324783,-0.1939501,-1.438583,-13.69339,-2.495198,16.73899,-5.537713,-0.8035691,4.880669,4.773232,-3.004348,-0.9638805,3.660142,-17.14199,-1.847268,-7.521283,-0.3173648,1.357683,23.92262,-2.392308,-7.649527,-5.785164,-0.3743001,4.803638,5.286983,-3.146545,0.4252063,8.223328,-17.79751,0.2176059
